LIMIT_BAL_US,SEX,EDUCATION,MARRIAGE,AGE,PAY_SCORE_AVG,BILL_AVG_US,PAY_AMT_AVG_US,PAY_TO_BILL,CREDIT_UTILIZATION,DEFAULT_PAYMENT_NEXT_MO
725.7142857,2,2,1,24,-0.33,46.59085714,4.166809524,0.09,0.19565,1
4354.285714,2,2,2,26,0.50,103.2751905,30.23809524,0.29,0.02235,1
3265.714286,2,2,2,34,0.00,614.758619,66.63266667,0.11,0.3248777778,0
1814.285714,2,2,1,37,0.00,1399.019905,50.72742857,0.04,0.9398,0
1814.285714,1,2,1,57,-0.33,661.240619,357.1058571,0.54,0.17234,0
1814.285714,1,1,2,37,0.00,1440.022762,47.00209524,0.03,1.288,0
18142.85714,1,1,2,29,0.00,16477.31262,1093.161571,0.07,0.73593,0
3628.571429,2,2,2,23,-0.50,81.55819048,28.97414286,0.36,0.11876,0
5080,2,3,1,28,0.33,394.3773333,40.88795238,0.10,0.08060714286,0
725.7142857,1,3,2,35,-1.67,162.7958571,85.44680952,0.52,0,0
7257.142857,2,3,2,34,0.17,208.4432857,39.14019048,0.19,0.055365,0
9434.285714,2,1,2,51,-0.50,534.4220476,401.0055238,0.75,0.04715769231,0
22860,2,2,2,41,-0.83,247.9947143,141.3328571,0.57,0.01926507937,0
2540,1,2,2,30,1.17,2048.237857,64.70952381,0.03,0.9400285714,1
9071.428571,1,1,2,29,0.00,2259.336048,108.8571429,0.05,0.283548,0
1814.285714,2,3,3,23,0.50,1187.849143,37.4952381,0.03,1.01228,0
725.7142857,1,1,2,24,1.33,642.0212857,38.40238095,0.06,0.7688,1
11611.42857,1,1,1,49,-0.50,5842.084667,2188.61519,0.37,0.79151875,0
13062.85714,2,1,1,49,-1.50,0,0,1.00,0,0
6531.428571,2,1,2,29,-1.50,0,0,1.00,0,0
4717.142857,2,3,2,39,-0.17,749.1971905,255.397,0.34,0.2950615385,0
4354.285714,2,2,1,39,-1.00,11.46628571,9.555238095,0.83,0.002633333333,1
2540,2,2,2,26,1.33,1605.491667,66.58428571,0.04,0.5869571429,1
16328.57143,2,1,1,40,-2.00,163.0740476,136.6096667,0.84,0.01224888889,1
3265.714286,1,1,2,23,-0.17,192.7013333,99.18095238,0.51,0.05271111111,0
1814.285714,1,3,2,23,0.00,1295.974524,47.7217619,0.04,0.9524,0
2177.142857,1,1,2,27,-0.83,-2.382761905,15.11904762,-6.35,-0.001816666667,1
1814.285714,2,3,2,30,0.00,678.9540952,43.01066667,0.06,0.45082,0
1814.285714,2,3,1,47,-1.00,243.1626667,239.2861429,0.98,0.013,0
1814.285714,1,1,2,26,0.00,587.1149524,39.91428571,0.07,0.30658,0
8345.714286,2,1,2,27,-1.00,687.8924762,589.5763333,0.86,0.07237391304,0
1814.285714,1,2,2,33,0.33,918.4458571,41.93419048,0.05,0.61036,1
3628.571429,1,1,2,32,0.00,2995.004714,113.3565714,0.04,0.93036,0
18142.85714,2,2,1,54,-2.00,760.4518095,958.5597143,1.26,0.021858,0
18142.85714,1,1,1,58,-2.00,352.6850476,274.7130952,0.78,0.027418,0
5805.714286,1,1,2,30,-1.50,153.0773333,13.78857143,0.09,0.18915625,0
10160,1,2,1,40,0.00,6470.813286,253.5343333,0.04,0.6660821429,0
2177.142857,2,2,2,22,-0.17,195.2110952,322.6344286,1.65,0.2509,0
1814.285714,1,1,2,25,-1.17,4.717142857,4.717142857,1.00,0,1
10160,1,1,2,31,-0.33,312.3171905,225.9209048,0.72,0.001778571429,0
13062.85714,1,1,2,33,0.00,9983.11319,1474.651429,0.15,0.6074111111,0
2540,2,1,2,25,0.00,2375.843429,116.9730476,0.05,0.9645857143,0
362.8571429,1,2,2,22,0.00,137.6498571,43.70614286,0.32,0.1877,0
5080,2,2,1,37,0.00,2329.143714,120.952381,0.05,0.4250285714,0
1451.428571,2,1,2,30,0.33,890.1188095,78.61904762,0.09,0.473175,0
7620,1,1,2,29,-2.00,0,0,1.00,0,1
725.7142857,2,1,2,22,0.17,479.7455238,121.4059524,0.25,0.7014,1
5442.857143,2,5,2,46,-0.50,59.49042857,13.20195238,0.22,0.02975333333,1
13788.57143,1,2,2,32,-1.00,694.357381,564.436381,0.81,0.05895,0
725.7142857,1,1,2,24,0.00,700.3747619,37.77342857,0.05,0.87235,0
2540,1,3,2,42,1.50,1384.977333,48.98571429,0.04,0.5291714286,1
3628.571429,2,3,3,43,0.00,1603.737857,58.09342857,0.04,0.61559,0
11248.57143,2,2,1,49,-2.00,266.8511905,185.468381,0.70,0.04343548387,0
6531.428571,2,1,2,25,0.50,1567.246524,61.96390476,0.04,0.2300111111,0
5442.857143,2,1,2,29,0.33,1068.922714,77.81471429,0.07,0.30816,0
18142.85714,2,1,1,45,-2.00,50.72742857,39.20671429,0.77,0.00381,0
6531.428571,2,3,1,34,-0.50,335.0622857,176.4634762,0.53,0.09103333333,0
6531.428571,2,2,1,34,0.00,5759.522571,205.994,0.04,0.9771444444,0
7257.142857,2,1,2,34,1.67,40.80328571,11.49047619,0.28,0.007935,0
14514.28571,2,2,1,29,0.00,13813.60857,659.3658571,0.05,1.000335,0
18142.85714,2,3,1,28,0.00,663.4177619,53.31580952,0.08,0.045696,1
2540,1,2,1,39,-0.17,1477.082571,73.29714286,0.05,1.011428571,0
1814.285714,1,1,2,29,2.00,953.5522857,37.04166667,0.04,0.49974,1
1814.285714,2,2,1,46,-1.00,350.060381,6.047619048,0.02,0.57436,1
4717.142857,2,2,1,51,-1.33,14.8287619,14.23004762,0.96,0.0007615384615,0
7257.142857,1,1,1,57,-0.50,2840.179619,57.58542857,0.02,0.762595,1
362.8571429,1,2,1,56,1.00,138.2001905,18.20333333,0.13,0.2097,1
7620,2,1,2,30,-0.50,51.943,55.626,1.07,0.001428571429,0
4717.142857,2,3,2,29,-0.50,47.7822381,250.2444286,5.24,-0.001461538462,0
725.7142857,1,5,2,22,0.33,534.162,22.37619048,0.04,0.92825,0
2902.857143,1,1,2,31,-1.00,14.15142857,11.79285714,0.83,0.00975,0
11611.42857,1,2,2,29,2.00,2190.157333,83.45714286,0.04,0.182084375,1
7257.142857,2,2,1,32,-0.50,159.8083333,118.0011429,0.74,0.04538,0
10522.85714,2,1,2,37,-0.83,33.34657143,33.34657143,1.00,0,0
12337.14286,1,1,2,32,-1.00,859.965381,858.7437619,1.00,0.008964705882,0
725.7142857,1,2,2,24,0.33,612.7931429,33.80619048,0.06,0.73095,0
1814.285714,1,3,2,25,-0.17,879.3600952,38.4507619,0.04,0.85676,0
10885.71429,2,1,1,45,-1.00,10.55914286,10.55914286,1.00,0.00097,0
1088.571429,2,2,2,22,0.00,902.2200952,50.86652381,0.06,0.9462333333,1
8708.571429,2,2,2,44,-1.50,0,0,1.00,0,1
17054.28571,2,3,3,33,0.00,3718.215286,132.6000952,0.04,0.3516042553,0
13062.85714,2,1,2,26,-0.17,1783.461,975.8135714,0.55,0.06503055556,0
2177.142857,1,3,2,30,0.00,868.2324762,32.32452381,0.04,0.4387333333,1
14514.28571,2,2,1,44,0.33,4239.090667,137.6014762,0.03,0.3289875,0
1814.285714,2,3,2,49,0.00,1073.446333,36.60019048,0.03,0.97818,0
5805.714286,1,2,2,33,0.00,4033.840524,615.3270952,0.15,0.812675,0
13062.85714,2,1,1,45,-0.33,21.22714286,14.15142857,0.67,0.001083333333,1
5805.714286,2,2,2,32,-0.17,191.2438571,49.6872381,0.26,0.0239125,0
4717.142857,2,1,1,35,-0.50,1369.991333,342.9302381,0.25,0.6254846154,0
725.7142857,1,3,2,44,1.00,370.7734762,37.19890476,0.10,0.42915,0
7257.142857,1,1,1,53,2.00,5214.057571,198.3619048,0.04,0.6909,1
10160,2,1,2,39,-0.83,92.89142857,23.99695238,0.26,0.02687142857,0
3628.571429,2,1,2,27,-2.00,21.49928571,45.6897619,2.13,-0.02,0
5805.714286,2,2,1,37,-1.17,25.17019048,66.63266667,2.65,0.0055,0
2177.142857,2,2,2,23,0.00,1196.454905,37.86414286,0.03,0.7608,0
3265.714286,1,2,2,35,0.00,2145.187238,71.09580952,0.03,0.9302777778,0
13062.85714,1,1,1,43,-0.83,353.5438095,729.4214762,2.06,0.01101944444,0
5442.857143,1,1,2,27,0.00,2899.295095,144.1812857,0.05,0.5733933333,0
1814.285714,2,3,1,22,0.00,506.7541905,22.87814286,0.05,0.37444,0
725.7142857,1,2,1,38,-0.17,563.7409048,34.38071429,0.06,0.89865,1
5080,1,1,2,32,-2.00,82.72538095,78.66138095,0.95,0.0048,0
13788.57143,2,1,2,30,-0.83,801.926381,254.1149048,0.32,-0.0002131578947,0
17417.14286,1,1,1,63,0.67,16697.5669,792.0627143,0.05,0.8793104167,0
1814.285714,2,3,2,22,0.00,1241.975333,41.54714286,0.03,0.89396,1
2177.142857,2,2,2,26,1.67,2068.515524,81.74566667,0.04,0.94475,0
2540,2,2,2,24,-1.50,194.183,172.5325238,0.89,0.07971428571,0
2902.857143,2,2,1,36,-1.00,108.0407143,77.3732381,0.72,0.07635,0
12700,1,1,2,52,-1.00,66.44519048,92.43785714,1.39,0.002037142857,0
4717.142857,1,2,2,38,-0.50,4118.053619,1740.311238,0.42,1.318753846,0
13062.85714,1,2,1,35,-1.50,-3.737428571,0,0.00,-0.0002861111111,0
11974.28571,2,1,1,31,0.33,3867.93619,198.041381,0.05,0.3208454545,0
1814.285714,1,3,1,47,0.33,563.2691905,42.33333333,0.08,0.26488,0
10160,1,2,1,41,2.17,5170.762667,245.5575238,0.05,0.4845464286,0
3628.571429,2,1,2,24,0.00,2027.077238,108.0467619,0.05,0.52128,0
1814.285714,1,2,2,41,0.00,720.3319048,33.08652381,0.05,0.3803,0
1088.571429,1,1,2,24,1.00,711.5628571,38.17257143,0.05,0.6066333333,1
8708.571429,1,1,2,28,-1.00,45.09104762,46.30057143,1.03,0.001358333333,0
2902.857143,1,2,2,26,0.33,598.8473333,46.56666667,0.08,0.1753625,1
14514.28571,1,2,1,34,-1.00,434.388381,350.1027143,0.81,0.04915,0
8708.571429,2,2,2,38,-0.33,1268.203857,66.96528571,0.05,0.2093916667,0
1814.285714,1,3,2,37,2.17,1755.29119,61.89738095,0.04,0.92008,1
16328.57143,1,1,1,40,-1.50,0,0,1.00,0,1
3991.428571,2,1,1,48,-1.50,0,0,1.00,0,0
11248.57143,2,2,1,35,0.33,9836.68219,326.4081429,0.03,0.9838419355,1
725.7142857,1,1,2,27,0.00,677.9380952,26.05314286,0.04,0.95575,0
725.7142857,1,2,2,23,-1.50,0,0,1.00,0,0
7257.142857,1,3,2,52,0.00,3735.523571,133.3862857,0.04,0.550755,0
6531.428571,1,1,1,36,0.00,4045.143524,89.32938095,0.02,0.9096444444,1
1814.285714,1,2,1,51,0.00,184.7426667,37.4952381,0.20,0.06694,1
2177.142857,1,3,1,55,1.17,1597.327381,45.42366667,0.03,1.008683333,0
1088.571429,2,1,2,23,-1.17,198.2167619,192.834381,0.97,0.1333333333,0
