,year,continent,country,income,life_exp,population
0,2014,asia,Philippines,6598,70.7,100102249
1,2014,americas,Paraguay,8038,74.3,6552584
2,2014,asia,Palau,14078,,21094
3,2014,asia,Pakistan,4619,65.6,185546257
4,2014,americas,St.-Pierre-et-Miquelon,,,6277
5,2014,americas,Brazil,15412,74.3,204213133
6,2014,europe,Norway,64020,82,5140311
7,2014,africa,Nigeria,5607,63.7,176460502
8,2014,americas,Nicaragua,4574,77.8,6013997
9,2014,europe,Netherlands,45281,81.3,16889356
10,2014,asia,Papua New Guinea,2510,60.5,7755785
11,2014,asia,Taiwan,41376,79.4,23184000
12,2014,americas,St. Vincent and the Grenadines,10131,71.1,109357
13,2014,americas,Colombia,12447,77.8,47791911
14,2014,europe,Austria,43906,81.2,8633220
15,2014,asia,New Zealand,33538,81.4,4566700
16,2014,americas,Mexico,16496,75.6,124221600
17,2014,africa,Mauritania,3718,69.6,4063920
18,2014,africa,"Congo, Dem. Rep.",768,60.1,73722860
19,2014,europe,Malta,29508,82,425570
20,2014,africa,Mali,1653,60,16962846
21,2014,europe,Armenia,7763,74.5,2906220
22,2014,asia,Malaysia,23579,75.1,30228017
23,2014,africa,Malawi,778,60.1,17068838
24,2014,asia,Oman,48201,77,3960925
25,2014,asia,Maldives,14095,80,408247
26,2014,europe,"Macedonia, FYR",12096,76.2,2077495
27,2014,asia,"Macao, China",142893,80.61,588781
28,2014,africa,Libya,14887,75,6204108
29,2014,africa,Mozambique,1115,56.1,27212382
30,2014,americas,Virgin Islands (U.S.),,80.38,105110
31,2014,africa,Equatorial Guinea,30783,61,1129424
32,2014,asia,Kyrgyz Republic,3169,69.6,5774566
33,2014,europe,France,37218,81.7,64190638
34,2014,africa,Lesotho,2494,45.4,2145785
35,2014,asia,Kiribati,1822,62.8,110458
36,2014,asia,American Samoa,,72.8,55437
37,2014,europe,Ireland,46633,81.6,4686347
38,2014,asia,Jordan,11496,78.4,8809306
39,2014,asia,Mongolia,11509,66.8,2923896
40,2014,europe,Italy,33078,82.1,59585668
41,2014,asia,Israel,31180,81.3,7941329
42,2014,africa,Liberia,934,61.8,4390737
43,2014,asia,Japan,35635,83.1,128162873
44,2014,africa,South Africa,12446,61.2,54539571
45,2014,asia,Iran,15573,74.6,78411092
46,2014,americas,Cuba,20122,78.1,11439767
47,2014,europe,Kosovo,8810,,
48,2014,asia,India,5565,66.9,1293859294
49,2014,asia,Tuvalu,3548,,10908
50,2014,europe,Iceland,41237,83.3,328459
51,2014,europe,Hungary,23609,76.5,9813335
52,2014,asia,Fiji,7735,65.7,885806
53,2014,asia,"Hong Kong, China",52552,83.56,7194563
54,2014,asia,Vanuatu,2837,64.7,258850
55,2014,asia,Tajikistan,2533,71.9,8362745
56,2014,europe,Luxembourg,88203,82.1,556316
57,2014,americas,Grenada,11400,71.4,106360
58,2014,europe,Denmark,42777,80.3,5663914
59,2014,americas,Haiti,1670,63.8,10572466
60,2014,asia,"Micronesia, Fed. Sts.",3475,68.8,104015
61,2014,americas,Guyana,6545,66.4,763393
62,2014,africa,Guinea-Bissau,1363,55.3,1725744
63,2014,americas,Argentina,17519,76.3,42981515
64,2014,africa,Guinea,1179,58.6,11805509
65,2014,americas,Guatemala,7181,72.4,15923559
66,2014,africa,Burkina Faso,1606,60.6,17585977
67,2014,europe,Bosnia and Herzegovina,9516,78.7,3566002
68,2014,americas,Canada,42817,81.7,35604728
69,2014,africa,St. Helena,,,4054
70,2014,asia,Lao,4925,66.6,6576397
71,2014,americas,Bolivia,6153,72.9,10562159
72,2014,asia,Nepal,2265,70.2,28323241
73,2014,americas,Costa Rica,13713,80.2,4757575
74,2014,europe,Bulgaria,16048,74.7,7222145
75,2014,asia,Australia,43219,82.3,23474668
76,2014,europe,Germany,43444,80.7,81489660
77,2014,asia,Kuwait,83394,80.2,3782450
78,2014,asia,Brunei,72219,77.1,411704
79,2014,americas,Jamaica,8462,74.8,2862087
80,2014,africa,Botswana,16725,57.3,2168573
81,2014,americas,Bermuda,48728,78.4,62382
82,2014,americas,Panama,19637,77.9,3903986
83,2014,europe,Cyprus,29673,81.7,1152309
84,2014,africa,Cote d'Ivoire,3324,58.5,22531350
85,2014,africa,Burundi,758,61.4,9891790
86,2014,asia,Bhutan,7500,72.4,776448
87,2014,asia,Marshall Islands,3638,66.7,52898
88,2014,africa,"Congo, Rep.",5905,61.5,4871101
89,2014,americas,Honduras,4214,72.8,8809216
90,2014,europe,Slovak Republic,26355,77.4,5432841
91,2014,asia,Palestine,4493,74.5,4537425
92,2014,africa,Benin,1779,62,10286712
93,2014,africa,Uganda,1638,60.7,38833338
94,2014,africa,Swaziland,6058,49.8,1295097
95,2014,asia,Myanmar,3727,67.6,51924182
96,2014,asia,Kazakhstan,23092,70.2,17487779
97,2014,africa,Djibouti,3016,63.1,912164
98,2014,europe,Belgium,40885,80.5,11219161
99,2014,europe,Greece,24502,81,11264726
100,2014,africa,Namibia,9506,64.1,2370992
101,2014,americas,Antigua and Barbuda,20797,76.3,98875
102,2014,americas,Trinidad and Tobago,29820,72.3,1354493
103,2014,europe,United Kingdom,37614,80.9,65015686
104,2014,africa,Kenya,2776,65,46024250
105,2014,africa,Ghana,3953,64.8,26962563
106,2014,asia,Lebanon,16794,78.7,5603279
107,2014,asia,Iraq,14018,67.7,35006080
108,2014,europe,Estonia,25865,77.6,1318359
109,2014,africa,Angola,7546,59.2,26920466
110,2014,asia,Tokelau,,,1219
111,2014,africa,Eritrea,1140,60.6,4746045
112,2014,asia,United Arab Emirates,60578,75.4,9070867
113,2014,europe,Georgia,7233,72.6,3992346
114,2014,europe,Greenland,27216,72,56382
115,2014,africa,Comoros,1459,68,759385
116,2014,europe,Albania,10160,77.9,2920775
117,2014,europe,Andorra,44929,84.8,79223
118,2014,africa,South Sudan,2574,56.1,11530971
119,2014,americas,Dominica,10207,73,72778
120,2014,americas,Aruba,36447,75.59,103795
121,2014,asia,North Korea,1391,71.9,25116363
122,2014,asia,Afghanistan,1877,54.9,32758020
123,2014,europe,Belarus,17349,70.7,9484851
124,2014,africa,Chad,2141,56.8,13569438
125,2014,americas,Peru,11514,79.3,30973354
126,2014,americas,Dominican Republic,12505,75.1,10405844
127,2014,africa,Algeria,13179,76.3,39113313
128,2014,europe,Montenegro,14358,77.1,627674
129,2014,africa,Togo,1387,61.1,7228915
130,2014,americas,Chile,21967,79.2,17613798
131,2014,africa,Morocco,7040,74.4,34318082
132,2014,africa,Madagascar,1371,63.3,23589801
133,2014,asia,Bahrain,43963,79.1,1336397
134,2014,americas,Belize,8418,71.5,351694
135,2014,europe,Azerbaijan,16710,72.5,9503771
136,2014,africa,Ethiopia,1432,64.7,97366774
137,2014,asia,Nauru,15227,,11070
138,2014,americas,Bahamas,22439,73.5,382169
139,2014,asia,Cambodia,3093,69.1,15270790
140,2014,africa,Niger,923,60.7,19148219
141,2014,africa,Gabon,17912,65,1875713
142,2014,asia,Bangladesh,2991,70.1,159405279
143,2014,americas,El Salvador,7613,74.8,6281189
144,2014,americas,Barbados,12829,75.6,283385
145,2014,africa,Cameroon,2829,59.1,22239904
146,2014,americas,Cayman Islands,49118,,59172
147,2014,europe,Latvia,22460,75.2,2016125
148,2014,africa,Central African Republic,578,48.2,4515392
149,2014,europe,Moldova,4754,73.6,4069939
150,2014,asia,China,12609,75.9,1390110388
151,2014,africa,Reunion,,79.89,856867
152,2014,africa,Egypt,10792,71.3,91812566
153,2014,europe,Switzerland,55776,82.9,8229629
154,2014,africa,Mauritius,17731,74.3,1257219
155,2014,asia,Wallis et Futuna,,,12285
156,2014,europe,Croatia,20060,77.8,4257533
157,2014,europe,Monaco,61738,,38132
158,2014,europe,Lithuania,25708,75,2961846
159,2014,europe,Serbia,12717,75.9,8884712
160,2014,europe,Czech Republic,28695,78.6,10598526
161,2014,americas,Falkland Is (Malvinas),,,2887
162,2014,americas,Ecuador,10774,75.8,15903112
163,2014,asia,Indonesia,10099,70.8,255131116
164,2014,africa,Cape Verde,6343,72.7,526437
165,2014,asia,Singapore,78958,81.9,5448342
166,2014,europe,Finland,38569,80.9,5459717
167,2014,africa,Gambia,1555,68,1917852
168,2014,americas,Turks and Caicos Islands,20107,,33739
169,2014,europe,Poland,23952,77.4,38293060
170,2014,europe,Portugal,26055,80.7,10471168
171,2014,americas,Puerto Rico,33649,78.2,3680715
172,2014,asia,Vietnam,5370,75.2,92544915
173,2014,asia,Qatar,133563,79.8,2374419
174,2014,europe,Romania,18569,75.1,19972736
175,2014,europe,Russia,23293,70.9,143761378
176,2014,africa,Rwanda,1485,65.7,11345357
177,2014,asia,Samoa,5525,73.1,192290
178,2014,africa,Zambia,3898,56.3,15620974
179,2014,europe,San Marino,39614,,32657
180,2014,africa,Sao Tome and Principe,2923,67.8,191266
181,2014,africa,Tanzania,2472,63.3,52234869
182,2014,asia,Saudi Arabia,52096,79.4,30776722
183,2014,africa,Senegal,2206,65,14546111
184,2014,africa,Seychelles,25038,74,93254
185,2014,africa,Sierra Leone,1959,55.2,7079162
186,2014,europe,Slovenia,28059,80.8,2070845
187,2014,asia,Solomon Islands,2030,63.6,575504
188,2014,africa,Somalia,621,54.3,13513125
189,2014,asia,South Korea,33629,80.9,50385560
190,2014,asia,New Caledonia,,76.52,265497
191,2014,europe,Spain,32270,82.5,46521827
192,2014,asia,Sri Lanka,10043,77.4,20623564
193,2014,americas,St. Kitts and Nevis,21688,,53739
194,2014,americas,St. Lucia,9917,74.8,176421
195,2014,africa,Sudan,3940,67.2,37737913
196,2014,americas,Suriname,16649,71.8,547928
197,2014,europe,Sweden,44029,82.1,9689376
198,2014,asia,Syria,4300,67.2,19203090
199,2014,asia,Thailand,13986,74.6,68416772
200,2014,asia,Timor-Leste,2173,72.3,1212814
201,2014,asia,Tonga,4962,71.3,105782
202,2014,africa,Tunisia,10825,77.6,11143908
203,2014,europe,Turkey,18884,79.1,77030628
204,2014,asia,Turkmenistan,14762,69.6,5466241
205,2014,europe,Ukraine,8267,71.3,44883426
206,2014,americas,Netherlands Antilles,,77.01,206981
207,2014,americas,United States,52118,79.1,317718779
208,2014,americas,Uruguay,19929,76.6,3419546
209,2014,asia,Uzbekistan,5320,71.5,30499618
210,2014,americas,Venezuela,16666,74.8,30738378
211,2014,europe,Channel Islands,,80.47,162969
212,2014,asia,Yemen,3866,67.1,26246327
213,2014,africa,Zimbabwe,1773,57,15411675
